scenario,strategy,repeat,success_rate,primary_success_rate,fallback_usage_rate,fallback_success_rate,fallback_accuracy,fallback_macro_f1,fallback_precision,fallback_recall,human_review_rate,p50,p95,p99,success_p95,scheduler_lag_p95,recovery_seconds,retry_count,rejected_count,circuit_open_seconds,requests_during_outage,primary_calls,estimated_cost_per_request
latency,B,2,0.825,0.825,0.0,0.0,,,,,0.0,0.032000000006519,1.0,1.0281500000145747,0.70299999997951,0.013666666669693002,,72,0,0.0,0,192,0.0016
latency,D,3,0.9333333333333333,0.6333333333333333,0.36666666666666664,0.3,0.8181818181818182,0.8968253968253969,1.0,0.8214285714285715,0.06666666666666667,0.030999999988125002,0.29699999999284027,0.312999999994644,0.29699999999138504,0.016000000014901,,0,30,1.0,0,90,0.00075
latency,A,3,0.65,0.65,0.0,0.0,,,,,0.0,0.032000000006519,0.312999999994644,0.312999999994644,0.032000000006519,0.014999999996507002,,0,0,0.0,0,120,0.001
latency,B,3,0.8333333333333334,0.8333333333333334,0.0,0.0,,,,,0.0,0.032000000006519,1.0,1.0591500000082306,0.7189999999827701,0.015000000025611,,70,0,0.0,0,190,0.0015833333333333333
latency,C,3,0.625,0.625,0.0,0.0,,,,,0.0,0.030999999988125002,0.29700000002048904,0.312999999994644,0.032000000006519,0.015333333351494002,,0,31,1.0320000000065193,0,89,0.0007416666666666666
latency,A,4,0.6583333333333333,0.6583333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.312999999994644,0.312999999994644,0.032000000006519,0.016000000014901,,0,0,0.0,0,120,0.001
latency,B,4,0.8333333333333334,0.8333333333333334,0.0,0.0,,,,,0.0,0.032000000006519,1.0015499999994062,1.062000000005355,0.7357499999867285,0.015000000025611,,73,0,0.0,0,193,0.0016083333333333334
latency,C,4,0.625,0.625,0.0,0.0,,,,,0.0,0.030999999988125002,0.29699999999138504,0.30915000000823056,0.032000000006519,0.015333333351494002,,0,31,1.0320000000065193,0,89,0.0007416666666666666
latency,D,4,0.9416666666666667,0.625,0.375,0.31666666666666665,0.8444444444444444,0.9153439153439153,1.0,0.85,0.058333333333333334,0.030999999988125002,0.31200000000535505,0.312999999994644,0.31200000000535505,0.016000000014901,,0,30,1.014999999984866,0,90,0.00075
error10,A,0,0.875,0.875,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.015000000025611,,0,0,0.0,0,120,0.001
error10,B,0,1.0,1.0,0.0,0.0,,,,,0.0,0.031000000017229003,0.09399999998277,0.125,0.09399999998277,0.014333333362204001,,17,0,0.0,0,137,0.0011416666666666667
error10,C,0,0.875,0.875,0.0,0.0,,,,,0.0,0.030999999988125002,0.046999999991385,0.047000000020489006,0.046999999991385,0.014333333362204001,,0,0,0.0,0,120,0.001
error10,D,0,0.975,0.875,0.125,0.1,0.8,0.8888888888888888,1.0,0.8333333333333334,0.025,0.031000000017229003,0.032000000006519,0.044149999994260496,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
error10,B,1,0.9916666666666667,0.9916666666666667,0.0,0.0,,,,,0.0,0.031000000017229003,0.094000000011874,0.11911000000225613,0.0939999999856804,0.014333333362204001,,16,0,0.0,0,136,0.0011333333333333334
error10,C,1,0.8833333333333333,0.8833333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.0469999999928402,0.047000000020489006,0.046999999991385,0.013750000003783047,,0,0,0.0,0,120,0.001
error10,D,1,0.975,0.8833333333333333,0.11666666666666667,0.09166666666666666,0.7857142857142857,0.8888888888888888,1.0,0.8333333333333334,0.025,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
error10,A,1,0.8833333333333333,0.8833333333333333,0.0,0.0,,,,,0.0,0.031000000017229003,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,,0,0,0.0,0,120,0.001
