scenario,strategy,metric,n,mean,std,ci95_low,ci95_high
error10,A,success_p95,5,0.032000000006519,0.0,0.032000000006519,0.032000000006519
error10,A,scheduler_lag_p95,5,0.015000000011641002,0.000707106788704743,0.014122010969220845,0.01587798905406116
error10,A,recovery_seconds,0,,,,
error10,A,retry_count,5,0.0,0.0,0.0,0.0
error10,A,rejected_count,5,0.0,0.0,0.0,0.0
error10,A,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error10,A,requests_during_outage,5,0.0,0.0,0.0,0.0
error10,A,primary_calls,5,120.0,0.0,120.0,120.0
error10,A,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
error10,B,success_rate,5,0.9983333333333334,0.0037267799624996364,0.9937059248246705,1.0029607418419964
error10,B,primary_success_rate,5,0.9983333333333334,0.0037267799624996364,0.9937059248246705,1.0029607418419964
error10,B,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error10,B,fallback_success_rate,5,0.0,0.0,0.0,0.0
error10,B,fallback_accuracy,0,,,,
error10,B,fallback_macro_f1,0,,,,
error10,B,fallback_precision,0,,,,
error10,B,fallback_recall,0,,,,
error10,B,human_review_rate,5,0.0,0.0,0.0,0.0
error10,B,p50,5,0.031000000017229003,0.0,0.031000000017229003,0.031000000017229003
error10,B,p95,5,0.0876099999930005,0.013763556952130954,0.07052028683831232,0.10469971314768867
error10,B,p99,5,0.11340599999506944,0.012828397413557438,0.09747744077200485,0.12933455921813403
error10,B,success_p95,5,0.08760999998776178,0.013763556949090731,0.07052028683684855,0.10469971313867502
error10,B,scheduler_lag_p95,5,0.014333333350562399,0.00047140452877591696,0.01374800731859113,0.014918659382533667
error10,B,recovery_seconds,0,,,,
error10,B,retry_count,5,13.4,3.209361307176242,9.415051607651082,17.38494839234892
error10,B,rejected_count,5,0.0,0.0,0.0,0.0
error10,B,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error10,B,requests_during_outage,5,0.0,0.0,0.0,0.0
error10,B,primary_calls,5,133.4,3.209361307176242,129.4150516076511,137.38494839234892
error10,B,estimated_cost_per_request,5,0.0011116666666666666,2.6744677559802037e-05,0.0010784587633970923,0.001144874569936241
error10,C,success_rate,5,0.8983333333333332,0.01989556064385556,0.873629731957778,0.9230369347088884
error10,C,primary_success_rate,5,0.8983333333333332,0.01989556064385556,0.873629731957778,0.9230369347088884
error10,C,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error10,C,fallback_success_rate,5,0.0,0.0,0.0,0.0
error10,C,fallback_accuracy,0,,,,
error10,C,fallback_macro_f1,0,,,,
error10,C,fallback_precision,0,,,,
error10,C,fallback_recall,0,,,,
error10,C,human_review_rate,5,0.0,0.0,0.0,0.0
error10,C,p50,5,0.030999999999766603,1.5940917565382474e-11,0.03099999997997334,0.031000000019559867
error10,C,p95,5,0.03800000000075644,0.008215838354686781,0.027798689300680197,0.04820131070083269
error10,C,p99,5,0.038000000012107,0.008215838370229179,0.027798689292732326,0.04820131073148168
error10,C,success_p95,5,0.038000000000465405,0.008215838354288258,0.027798689300883993,0.048201310700046816
error10,C,scheduler_lag_p95,5,0.014216666684699012,0.00026087460534057484,0.013892748079202004,0.01454058529019602
error10,C,recovery_seconds,0,,,,
error10,C,retry_count,5,0.0,0.0,0.0,0.0
error10,C,rejected_count,5,0.0,0.0,0.0,0.0
error10,C,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error10,C,requests_during_outage,5,0.0,0.0,0.0,0.0
error10,C,primary_calls,5,120.0,0.0,120.0,120.0
error10,C,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
error10,D,success_rate,5,0.9766666666666666,0.0037267799624996364,0.9720392581580036,0.9812940751753295
error10,D,primary_success_rate,5,0.8983333333333332,0.01989556064385556,0.873629731957778,0.9230369347088884
error10,D,fallback_usage_rate,5,0.10166666666666666,0.019895560643855538,0.07696306529111148,0.12637026804222182
error10,D,fallback_success_rate,5,0.07833333333333332,0.02006932429798716,0.05341397588424659,0.10325269078242005
error10,D,fallback_accuracy,5,0.7625974025974026,0.06593075014283006,0.6807335637704827,0.8444612414243226
error10,D,fallback_macro_f1,5,0.8786243386243386,0.01893466656531315,0.8551138448321968,0.9021348324164805
error10,D,fallback_precision,5,1.0,0.0,1.0,1.0
error10,D,fallback_recall,5,0.8055555555555556,0.03469443332443558,0.7624767267585228,0.8486343843525883
error10,D,human_review_rate,5,0.023333333333333334,0.0037267799624996502,0.018705924824670338,0.02796074184199633
error10,D,p50,5,0.031000000017229003,0.0,0.031000000017229003,0.031000000017229003
error10,D,p95,5,0.03814000000624196,0.00809308346648206,0.028091109631453046,0.04818889038103087
error10,D,p99,5,0.04343000000662851,0.00650764934661093,0.03534968610000745,0.05151031391324956
error10,D,success_p95,5,0.038420000006153456,0.007879213158459422,0.028636664693121004,0.04820333531918591
error10,D,scheduler_lag_p95,5,0.014073333340192071,0.0005813776745612261,0.01335145761232997,0.014795209068054172
error10,D,recovery_seconds,0,,,,
error10,D,retry_count,5,0.0,0.0,0.0,0.0
error10,D,rejected_count,5,0.0,0.0,0.0,0.0
error10,D,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error10,D,requests_during_outage,5,0.0,0.0,0.0,0.0
error10,D,primary_calls,5,120.0,0.0,120.0,120.0
error10,D,estimated_cost_per_request,5,0.001,0.0,0.001,0.001
error30,A,success_rate,5,0.6849999999999999,0.03405469456950422,0.6427155117832213,0.7272844882167786
error30,A,primary_success_rate,5,0.6849999999999999,0.03405469456950422,0.6427155117832213,0.7272844882167786
error30,A,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error30,A,fallback_success_rate,5,0.0,0.0,0.0,0.0
error30,A,fallback_accuracy,0,,,,
error30,A,fallback_macro_f1,0,,,,
error30,A,fallback_precision,0,,,,
error30,A,fallback_recall,0,,,,
error30,A,human_review_rate,5,0.0,0.0,0.0,0.0
error30,A,p50,5,0.031000000005587402,1.5940917565382474e-11,0.030999999985794138,0.031000000025380666
error30,A,p95,5,0.04100000000937125,0.00821583836518122,0.03079868929626444,0.051201310722478056
error30,A,p99,5,0.041000000014901006,0.008215838370229179,0.03079868929552633,0.05120131073427568
error30,A,success_p95,5,0.041000000009080204,0.008215838364915538,0.03079868929630328,0.05120131072185713
error30,A,scheduler_lag_p95,5,0.0140666666793788,0.0003651483672278986,0.01361327509778903,0.01452005826096857
error30,A,recovery_seconds,0,,,,
error30,A,retry_count,5,0.0,0.0,0.0,0.0
error30,A,rejected_count,5,0.0,0.0,0.0,0.0
error30,A,circuit_open_seconds,5,0.0,0.0,0.0,0.0
error30,A,requests_during_outage,5,0.0,0.0,0.0,0.0
error30,A,primary_calls,5,120.0,0.0,120.0,120.0
